"","easting","northing","stream_order","elevation"
"219",6158328.5,2105954.1405,6,137.600006103516
"220",6160218.5,2105954.1405,1,228.449996948242
"221",6160602.5,2105954.1405,1,229.220001220703
"222",6160797.5,2105954.1405,2,226.106857299805
"223",6161946.5,2105954.1405,1,366.040008544922
"224",6163272.5,2105954.1405,1,545.119995117188
"225",6163791.5,2105954.1405,2,435.890014648438
"226",6157260.5,2105951.1405,3,201.259994506836
"227",6157683.5,2105951.1405,1,196.330001831055
"228",6158271.5,2105951.1405,1,136.619995117188
"229",6158274.5,2105951.1405,1,136.600006103516
"230",6158277.5,2105951.1405,1,136.679992675781
"231",6158328.5,2105951.1405,6,137.610000610352
"232",6160215.5,2105951.1405,1,230.300003051758
"233",6160602.5,2105951.1405,1,227.479995727539
"234",6160791.5,2105951.1405,2,225.077728271484
"235",6160794.5,2105951.1405,2,225.550216674805
"236",6161946.5,2105951.1405,1,367.820007324219
"237",6163272.5,2105951.1405,1,543.760009765625
"238",6163791.5,2105951.1405,2,436.359985351562
"239",6157263.5,2105948.1405,3,201.220001220703
"240",6157683.5,2105948.1405,1,195.270004272461
"241",6158280.5,2105948.1405,1,136.720001220703
"242",6158283.5,2105948.1405,1,137.039993286133
"243",6158286.5,2105948.1405,1,137.050003051758
"244",6158289.5,2105948.1405,1,137.199996948242
"245",6158292.5,2105948.1405,1,137.199996948242
"246",6158325.5,2105948.1405,6,137.580001831055
"247",6160215.5,2105948.1405,1,228.080001831055
"248",6160602.5,2105948.1405,1,225.410003662109
"249",6160788.5,2105948.1405,2,224.296142578125
"250",6161949.5,2105948.1405,1,369.579986572266
"251",6163275.5,2105948.1405,1,542.150024414062
"252",6163794.5,2105948.1405,2,436.440002441406
"253",6165051.5,2105948.1405,1,497.769989013672
"254",6165123.5,2105948.1405,2,480.649993896484
"255",6157266.5,2105945.1405,3,201.220001220703
"256",6157683.5,2105945.1405,1,195.270004272461
"257",6158295.5,2105945.1405,1,137.110000610352
"258",6158298.5,2105945.1405,1,137.130004882812
"259",6158301.5,2105945.1405,1,137.190002441406
"260",6158304.5,2105945.1405,1,137.220001220703
"261",6158307.5,2105945.1405,1,137.75
"262",6158325.5,2105945.1405,6,137.580001831055
"263",6160215.5,2105945.1405,1,228.080001831055
"264",6160599.5,2105945.1405,1,225.410003662109
"265",6160782.5,2105945.1405,2,220.570007324219
"266",6160785.5,2105945.1405,2,223.806594848633
"267",6161949.5,2105945.1405,1,369.579986572266
"268",6163278.5,2105945.1405,1,541.929992675781
"269",6163794.5,2105945.1405,2,436.440002441406
"270",6165054.5,2105945.1405,1,496.769989013672
"271",6165057.5,2105945.1405,1,496.769989013672
"272",6165126.5,2105945.1405,2,480.649993896484
"273",6157269.5,2105942.1405,3,201.270004272461
"274",6157683.5,2105942.1405,1,192.979995727539
"275",6158310.5,2105942.1405,1,137.75
"276",6158313.5,2105942.1405,1,137.789993286133
"277",6158316.5,2105942.1405,1,137.789993286133
"278",6158322.5,2105942.1405,6,137.809997558594
"279",6160215.5,2105942.1405,1,226.149993896484
"280",6160599.5,2105942.1405,1,225.259994506836
"281",6160779.5,2105942.1405,2,220.070007324219
"282",6161949.5,2105942.1405,1,373.559997558594
"283",6163281.5,2105942.1405,1,541.150024414062
"284",6163797.5,2105942.1405,2,434.339996337891
"285",6165060.5,2105942.1405,1,497.420013427734
"286",6165063.5,2105942.1405,1,496.220001220703
"287",6165066.5,2105942.1405,1,496.220001220703
"288",6165069.5,2105942.1405,1,498.239990234375
"289",6165126.5,2105942.1405,2,479.25
"290",6157272.5,2105939.1405,3,200.449996948242
"291",6157275.5,2105939.1405,3,200.449996948242
"292",6157278.5,2105939.1405,3,200.449996948242
"293",6157302.5,2105939.1405,3,195.559997558594
"294",6157305.5,2105939.1405,3,194.869995117188
"295",6157308.5,2105939.1405,3,194.210006713867
"296",6157311.5,2105939.1405,3,194.210006713867
"297",6157314.5,2105939.1405,3,194.199996948242
"298",6157317.5,2105939.1405,3,192.589996337891
"299",6157320.5,2105939.1405,3,192.589996337891
"300",6157323.5,2105939.1405,3,192.449996948242
"301",6157326.5,2105939.1405,3,192.449996948242
"302",6157329.5,2105939.1405,3,192.130004882812
"303",6157332.5,2105939.1405,3,198.130004882812
"304",6157335.5,2105939.1405,3,198.130004882812
"305",6157338.5,2105939.1405,3,199.270004272461
"306",6157341.5,2105939.1405,3,201.139999389648
"307",6157344.5,2105939.1405,3,203.779998779297
"308",6157347.5,2105939.1405,3,203.779998779297
"309",6157350.5,2105939.1405,3,205.580001831055
"310",6157353.5,2105939.1405,3,205.279998779297
"311",6157356.5,2105939.1405,3,205.210006713867
"312",6157359.5,2105939.1405,3,204.570007324219
"313",6157686.5,2105939.1405,1,190.529998779297
"314",6158319.5,2105939.1405,1,137.520004272461
"315",6158322.5,2105939.1405,6,137.559997558594
"316",6160212.5,2105939.1405,1,223.990005493164
"317",6160599.5,2105939.1405,1,224.380004882812
"318",6160773.5,2105939.1405,2,219.350006103516
"319",6160776.5,2105939.1405,2,219.399993896484
"320",6161952.5,2105939.1405,1,371.700012207031
"321",6163284.5,2105939.1405,1,538.799987792969
"322",6163797.5,2105939.1405,2,432.700012207031
"323",6165072.5,2105939.1405,1,497.820007324219
"324",6165075.5,2105939.1405,1,495.220001220703
"325",6165078.5,2105939.1405,1,493.519989013672
"326",6165081.5,2105939.1405,1,492.459991455078
"327",6165084.5,2105939.1405,1,491.739990234375
"328",6165087.5,2105939.1405,1,490.420013427734
"329",6165090.5,2105939.1405,1,490.420013427734
"330",6165093.5,2105939.1405,1,489.730010986328
"331",6165126.5,2105939.1405,2,479.010009765625
"332",6157281.5,2105936.1405,3,199.460006713867
"333",6157284.5,2105936.1405,3,197.970001220703
"334",6157287.5,2105936.1405,3,197.410003662109
"335",6157290.5,2105936.1405,3,197.309997558594
"336",6157293.5,2105936.1405,3,197.020004272461
"337",6157296.5,2105936.1405,3,197.020004272461
"338",6157299.5,2105936.1405,3,196.479995727539
"339",6157362.5,2105936.1405,3,203.460006713867
"340",6157365.5,2105936.1405,3,203.520004272461
"341",6157686.5,2105936.1405,1,188.910003662109
"342",6158322.5,2105936.1405,6,137.589996337891
"343",6160212.5,2105936.1405,1,223.059997558594
"344",6160599.5,2105936.1405,1,223.419998168945
"345",6160770.5,2105936.1405,2,218.580001831055
"346",6161952.5,2105936.1405,1,371.459991455078
"347",6163287.5,2105936.1405,1,536.219970703125
"348",6163800.5,2105936.1405,2,428.290008544922
"349",6165096.5,2105936.1405,1,489.730010986328
"350",6165099.5,2105936.1405,1,489.010009765625
"351",6165102.5,2105936.1405,1,487.089996337891
"352",6165105.5,2105936.1405,1,486.269989013672
"353",6165108.5,2105936.1405,1,483.790008544922
"354",6165111.5,2105936.1405,1,483.339996337891
"355",6165114.5,2105936.1405,1,481.839996337891
"356",6165117.5,2105936.1405,1,480.239990234375
"357",6165120.5,2105936.1405,1,479.359985351562
"358",6165123.5,2105936.1405,1,479.010009765625
"359",6165126.5,2105936.1405,2,479.010009765625
"360",6157368.5,2105933.1405,3,203.520004272461
"361",6157371.5,2105933.1405,3,203.570007324219
"362",6157686.5,2105933.1405,1,188.830001831055
"363",6158319.5,2105933.1405,6,137.509994506836
"364",6160212.5,2105933.1405,1,223.059997558594
"365",6160599.5,2105933.1405,1,222.830001831055
"366",6160764.5,2105933.1405,2,218.190002441406
"367",6160767.5,2105933.1405,2,218.169998168945
"368",6161952.5,2105933.1405,1,371.890014648438
"369",6163290.5,2105933.1405,1,534.630004882812
"370",6163800.5,2105933.1405,2,428.119995117188
"371",6165129.5,2105933.1405,2,479.010009765625
"372",6166140.5,2105933.1405,1,424.470001220703
"373",6166143.5,2105933.1405,1,424.470001220703
"374",6166305.5,2105933.1405,3,411.339996337891
"375",6157374.5,2105930.1405,3,203.889999389648
"376",6157686.5,2105930.1405,1,185.399993896484
"377",6158319.5,2105930.1405,6,137.419998168945
"378",6160209.5,2105930.1405,1,220.490005493164
"379",6160596.5,2105930.1405,1,222.699996948242
"380",6160761.5,2105930.1405,2,217.960006713867
"381",6161955.5,2105930.1405,1,372.859985351562
"382",6163293.5,2105930.1405,1,532.219970703125
"383",6163803.5,2105930.1405,2,427.899993896484
"384",6165132.5,2105930.1405,2,479.119995117188
"385",6166143.5,2105930.1405,1,422.899993896484
"386",6166302.5,2105930.1405,3,411.299987792969
"387",6157377.5,2105927.1405,3,203.410003662109
"388",6157686.5,2105927.1405,1,184.889999389648
"389",6158316.5,2105927.1405,6,137.580001831055
"390",6160209.5,2105927.1405,1,220
"391",6160596.5,2105927.1405,1,222.639999389648
"392",6160758.5,2105927.1405,2,218.350006103516
"393",6161955.5,2105927.1405,1,373.890014648438
"394",6163296.5,2105927.1405,1,531.760009765625
"395",6163803.5,2105927.1405,2,427.640014648438
"396",6165135.5,2105927.1405,2,478.540008544922
"397",6166146.5,2105927.1405,1,424.799987792969
"398",6166302.5,2105927.1405,3,411.209991455078
"399",6157380.5,2105924.1405,3,202.880004882812
"400",6157686.5,2105924.1405,1,184.889999389648
"401",6158316.5,2105924.1405,6,137.279998779297
"402",6160209.5,2105924.1405,1,218.479995727539
"403",6160596.5,2105924.1405,1,221.639999389648
"404",6160755.5,2105924.1405,2,218.910003662109
"405",6161955.5,2105924.1405,1,374.429992675781
"406",6163299.5,2105924.1405,1,530.549987792969
"407",6163806.5,2105924.1405,2,425.920013427734
