"","X1","easting","northing","stream_order","elevation"
"1449",4387,6170979.5,2105666.1405,3,449.649993896484
"1450",4388,6172812.5,2105666.1405,3,298.130004882812
"1451",4389,6172815.5,2105666.1405,3,298.220001220703
"1452",4390,6172818.5,2105666.1405,3,297.929992675781
"1453",4391,6172821.5,2105666.1405,3,298.339996337891
"1454",4392,6172824.5,2105666.1405,3,298.690002441406
"1455",4393,6172827.5,2105666.1405,3,298.630004882812
"1456",4395,6174987.5,2105666.1405,3,255.050003051758
"1457",4396,6175632.5,2105666.1405,6,227.960006713867
"1458",4397,6175653.5,2105666.1405,4,229.029998779297
"1459",4398,6175914.5,2105666.1405,4,230.279998779297
"1460",4399,6175917.5,2105666.1405,4,230.690002441406
"1461",4400,6175920.5,2105666.1405,4,230.690002441406
"1462",4409,6180576.5,2105666.1405,4,394.399993896484
"1463",4428,6185040.5,2105666.1405,3,796.929992675781
"1464",4437,6187908.5,2105666.1405,4,747.609985351562
"1465",4448,6157752.5,2105663.1405,3,163.279998779297
"1466",4449,6158346.5,2105663.1405,6,134.630004882812
"1467",4450,6158820.5,2105663.1405,3,133.800003051758
"1468",4451,6159078.5,2105663.1405,3,135.789993286133
"1469",4452,6159081.5,2105663.1405,3,135.830001831055
"1470",4453,6159900.5,2105663.1405,3,170.559997558594
"1471",4454,6159903.5,2105663.1405,3,170.559997558594
"1472",4455,6159906.5,2105663.1405,3,170.779998779297
"1473",4456,6159909.5,2105663.1405,3,171
"1474",4462,6166113.5,2105663.1405,3,401.869995117188
"1475",4463,6168666.5,2105663.1405,4,345.179992675781
"1476",4468,6170976.5,2105663.1405,3,449.649993896484
"1477",4469,6172830.5,2105663.1405,3,298.119995117188
"1478",4470,6172833.5,2105663.1405,3,298.519989013672
"1479",4471,6172836.5,2105663.1405,3,298.519989013672
"1480",4472,6172839.5,2105663.1405,3,298.519989013672
"1481",4473,6172842.5,2105663.1405,3,298.470001220703
"1482",4475,6174990.5,2105663.1405,3,255.070007324219
"1483",4476,6175632.5,2105663.1405,6,227.820007324219
"1484",4477,6175650.5,2105663.1405,4,228.550003051758
"1485",4478,6175908.5,2105663.1405,4,229.589996337891
"1486",4479,6175911.5,2105663.1405,4,230.25
"1487",4486,6180579.5,2105663.1405,4,394.470001220703
"1488",4499,6185040.5,2105663.1405,3,796.47998046875
"1489",4506,6187908.5,2105663.1405,4,746.5
"1490",4528,6157752.5,2105660.1405,3,163.220001220703
"1491",4529,6158349.5,2105660.1405,6,134.740005493164
"1492",4530,6158817.5,2105660.1405,3,133.800003051758
"1493",4531,6159084.5,2105660.1405,3,136.190002441406
"1494",4532,6159087.5,2105660.1405,3,136.190002441406
"1495",4533,6159894.5,2105660.1405,3,170.830001831055
"1496",4534,6159897.5,2105660.1405,3,170.559997558594
"1497",4541,6166110.5,2105660.1405,3,401.869995117188
"1498",4542,6168669.5,2105660.1405,4,340.450012207031
"1499",4546,6170976.5,2105660.1405,3,449.489990234375
"1500",4547,6172845.5,2105660.1405,3,297.059997558594
"1501",4548,6172848.5,2105660.1405,3,296.260009765625
"1502",4550,6174990.5,2105660.1405,3,255.259994506836
"1503",4551,6175632.5,2105660.1405,6,227.820007324219
"1504",4552,6175650.5,2105660.1405,4,228.529998779297
"1505",4553,6175902.5,2105660.1405,4,230.270004272461
"1506",4554,6175905.5,2105660.1405,4,230.440002441406
"1507",4561,6180582.5,2105660.1405,4,394.470001220703
"1508",4571,6185040.5,2105660.1405,3,795.890014648438
"1509",4579,6187905.5,2105660.1405,4,746.570007324219
"1510",4605,6157755.5,2105657.1405,3,163.169998168945
"1511",4606,6158352.5,2105657.1405,6,134.75
"1512",4607,6158814.5,2105657.1405,3,133.800003051758
"1513",4608,6159090.5,2105657.1405,3,136.279998779297
"1514",4609,6159885.5,2105657.1405,3,171.210006713867
"1515",4610,6159888.5,2105657.1405,3,171.210006713867
"1516",4611,6159891.5,2105657.1405,3,170.869995117188
"1517",4618,6166107.5,2105657.1405,3,402.869995117188
"1518",4619,6168669.5,2105657.1405,4,340.450012207031
"1519",4623,6170976.5,2105657.1405,3,449.410003662109
"1520",4624,6172851.5,2105657.1405,3,294.230010986328
"1521",4626,6174990.5,2105657.1405,3,255.710006713867
"1522",4627,6175629.5,2105657.1405,6,227.509994506836
"1523",4628,6175647.5,2105657.1405,4,228.279998779297
"1524",4629,6175896.5,2105657.1405,4,229.850006103516
"1525",4630,6175899.5,2105657.1405,4,230.199996948242
"1526",4656,6180585.5,2105657.1405,4,395.420013427734
"1527",4666,6185040.5,2105657.1405,3,795.429992675781
"1528",4672,6187905.5,2105657.1405,4,746.049987792969
"1529",4690,6157755.5,2105654.1405,3,163.160003662109
"1530",4691,6158352.5,2105654.1405,6,134.460006713867
"1531",4692,6158808.5,2105654.1405,3,133.860000610352
"1532",4693,6158811.5,2105654.1405,3,133.860000610352
"1533",4694,6159093.5,2105654.1405,3,136.190002441406
"1534",4695,6159096.5,2105654.1405,3,136.190002441406
"1535",4696,6159876.5,2105654.1405,3,171.119995117188
"1536",4697,6159879.5,2105654.1405,3,171.339996337891
"1537",4698,6159882.5,2105654.1405,3,171.259994506836
"1538",4705,6166104.5,2105654.1405,3,401.320007324219
"1539",4706,6168672.5,2105654.1405,4,338.850006103516
"1540",4710,6170976.5,2105654.1405,3,449.410003662109
"1541",4711,6172854.5,2105654.1405,3,293.820007324219
"1542",4713,6174993.5,2105654.1405,3,255.600006103516
"1543",4714,6175629.5,2105654.1405,6,227.389999389648
"1544",4715,6175644.5,2105654.1405,4,228.210006713867
"1545",4716,6175893.5,2105654.1405,4,230.309997558594
"1546",4733,6180585.5,2105654.1405,4,395.730010986328
"1547",4743,6185040.5,2105654.1405,3,794.780029296875
"1548",4751,6187902.5,2105654.1405,4,746.039978027344
"1549",4766,6189402.5,2105654.1405,5,826.25
"1550",4774,6157758.5,2105651.1405,3,162.610000610352
"1551",4775,6158355.5,2105651.1405,6,134.119995117188
"1552",4776,6158805.5,2105651.1405,3,134.020004272461
"1553",4777,6159099.5,2105651.1405,3,136.080001831055
"1554",4778,6159870.5,2105651.1405,3,170.979995727539
"1555",4779,6159873.5,2105651.1405,3,171.119995117188
"1556",4787,6166104.5,2105651.1405,3,400.480010986328
"1557",4788,6168672.5,2105651.1405,4,337.450012207031
"1558",4792,6170976.5,2105651.1405,3,456.243988037109
"1559",4793,6172854.5,2105651.1405,3,293.820007324219
"1560",4795,6174993.5,2105651.1405,3,255.970001220703
"1561",4796,6175629.5,2105651.1405,6,227.270004272461
"1562",4797,6175641.5,2105651.1405,4,227.779998779297
"1563",4798,6175887.5,2105651.1405,4,229.759994506836
"1564",4799,6175890.5,2105651.1405,4,230.369995117188
"1565",4823,6180588.5,2105651.1405,4,395.730010986328
"1566",4833,6185040.5,2105651.1405,3,794.140014648438
"1567",4839,6187902.5,2105651.1405,4,745.919982910156
"1568",4854,6189402.5,2105651.1405,5,826.349975585938
"1569",4861,6157761.5,2105648.1405,3,162.199996948242
"1570",4862,6157764.5,2105648.1405,3,161.940002441406
"1571",4863,6158358.5,2105648.1405,6,134.089996337891
"1572",4864,6158802.5,2105648.1405,3,134.160003662109
"1573",4865,6159102.5,2105648.1405,3,136.080001831055
"1574",4866,6159861.5,2105648.1405,3,170.649993896484
"1575",4867,6159864.5,2105648.1405,3,170.910003662109
"1576",4868,6159867.5,2105648.1405,3,171.240005493164
"1577",4875,6166101.5,2105648.1405,3,401.040008544922
"1578",4876,6168675.5,2105648.1405,4,333.450012207031
"1579",4880,6170976.5,2105648.1405,3,447.609985351562
"1580",4881,6172857.5,2105648.1405,3,294.820007324219
"1581",4883,6174996.5,2105648.1405,3,255.639999389648
"1582",4884,6175626.5,2105648.1405,6,227.179992675781
"1583",4885,6175638.5,2105648.1405,4,227.779998779297
"1584",4886,6175884.5,2105648.1405,4,230.449996948242
"1585",4923,6180588.5,2105648.1405,4,396.040008544922
"1586",4933,6185040.5,2105648.1405,3,794.130004882812
"1587",4941,6187902.5,2105648.1405,4,745.799987792969
"1588",4950,6189396.5,2105648.1405,5,825.169982910156
"1589",4951,6189399.5,2105648.1405,5,825.650024414062
"1590",4962,6157767.5,2105645.1405,3,161.940002441406
"1591",4963,6158361.5,2105645.1405,6,134.080001831055
